detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,26c6a0ce-8101-4efe-ba33-756eee96916b,dpdskrcslgqbmtidcotw,1753607379238000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,6c748be8-5b96-4576-9189-3c87043093c6,dpdskrcslgqbmtidcotw,1753607379238000
null,LOG,connection received: host=2a05:d018:1e14:200:e968:9111:722:d227 port=38152,null,02e1c1b2-d191-4778-9c79-b00154445b03,dpdskrcslgqbmtidcotw,1753607378978000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,eebf2fe0-b373-4b99-9a02-d399e44b8283,dpdskrcslgqbmtidcotw,1753607334933000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,6dceec9a-3deb-4061-933d-bd9620a7240b,dpdskrcslgqbmtidcotw,1753607334933000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,a0a79924-576f-4caa-a69c-a9337cbb28ca,dpdskrcslgqbmtidcotw,1753607334917000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,9b0685ae-b2b4-44bd-b36a-e8bbdd29d8d9,dpdskrcslgqbmtidcotw,1753607334917000
null,LOG,connection received: host=2a05:d018:1e14:200:e968:9111:722:d227 port=44622,null,29773502-9699-4242-aa6b-391d0f00e44c,dpdskrcslgqbmtidcotw,1753607334747000
null,LOG,connection received: host=2600:1f18:2a66:6e00:39cd:d4c4:fdca:2d81 port=34698,null,c1109562-85ed-49c7-8dcc-b25a2914085b,dpdskrcslgqbmtidcotw,1753607334464000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,a5623e5f-ff19-44f0-95f1-b65134c17dd6,dpdskrcslgqbmtidcotw,1753607334160000
